0.000000000000000000e+00	1.000658290067829803e+01	-7.909699968767182559e-22	-1.927565509075045361e-24
2.553842638224139081e-03	1.000808399994249598e+01	-7.805624565658755841e-22	-1.283850512582075680e-22
5.106649141633637541e-03	1.000958532438833970e+01	-7.500766231933273062e-22	-2.515328447174610761e-22
7.658419926712923056e-03	1.001108687404964392e+01	-7.003076875454489883e-22	-3.682066297277876579e-22
1.020915540977988985e-02	1.001258864896016831e+01	-6.325455150206820689e-22	-4.754118653889487978e-22
1.275885600698594378e-02	1.001409064915371872e+01	-5.485407302706306407e-22	-5.704004318156765102e-22
1.530752213431609866e-02	1.001559287466406367e+01	-4.504590439420938440e-22	-6.507407888815022104e-22
1.785515420758901697e-02	1.001709532552503390e+01	-3.408250241715944044e-22	-7.143798645220227287e-22
2.040175264245713480e-02	1.001859800177041748e+01	-2.224567824704520144e-22	-7.596951068534771960e-22
2.294731785440654037e-02	1.002010090343402737e+01	-9.839327197958920765e-23	-7.855353913998056651e-22
2.549185025875734881e-02	1.002160403054969784e+01	2.818391992298835166e-23	-7.912497643622809235e-22
2.803535027066350951e-02	1.002310738315122940e+01	1.540322675422930620e-22	-7.767033175569584001e-22
3.057781830511298315e-02	1.002461096127245632e+01	2.759313911822700110e-22	-7.422798222269415191e-22
3.311925477692779368e-02	1.002611476494719511e+01	3.907654007469812651e-22	-6.888710888546942039e-22
3.565966010076406650e-02	1.002761879420930846e+01	4.956023950890070506e-22	-6.178533596268814598e-22
3.819903469111212563e-02	1.002912304909261643e+01	5.877690928115665059e-22	-5.310513706632949375e-22
4.073737896229655264e-02	1.003062752963097992e+01	6.649187009012250058e-22	-4.306910341073602057e-22
4.327469332847626304e-02	1.003213223585822433e+01	7.250903061150794973e-22	-3.193419777684410061e-22
4.581097820364454093e-02	1.003363716780821058e+01	7.667582957152429618e-22	-1.998514349708210462e-22
4.834623400162919166e-02	1.003514232551480490e+01	7.888705731015645593e-22	-7.527119323166901620e-23
5.088046113609238918e-02	1.003664770901188064e+01	7.908746233844058894e-22	5.122051798460697452e-23
5.341366002053106465e-02	1.003815331833330760e+01	7.727307964596236046e-22	1.764001970957106180e-22
5.594583106827667740e-02	1.003965915351295379e+01	7.349125026427252508e-22	2.970812228494144510e-22
5.847697469249547864e-02	1.004116521458470679e+01	6.783933499895081329e-22	4.101948958776329622e-22
6.100709130618851145e-02	1.004267150158245059e+01	6.046215845491666734e-22	5.128683106273514216e-22
6.353618132219163162e-02	1.004417801454008341e+01	5.154825165248465073e-22	6.024970859477815534e-22
6.606424515317559087e-02	1.004568475349149281e+01	4.132499185210517286e-22	6.768111194200943567e-22
6.859128321164610631e-02	1.004719171847057879e+01	3.005276591110094473e-22	7.339317134396154502e-22
7.111729590994403383e-02	1.004869890951125555e+01	1.801830789329611284e-22	7.724186452654790571e-22
7.364228366024527794e-02	1.005020632664744085e+01	5.527382136734012212e-23	7.913060128784598388e-22
7.616624687456086118e-02	1.005171396991302579e+01	-7.103000947756226725e-23	7.901259768020462541e-22
7.868918596473728488e-02	1.005322183934195124e+01	-1.955263781264969274e-22	7.689198276165225307e-22
8.121110134245618228e-02	1.005472993496815448e+01	-3.150624871961321356e-22	7.282361317983435196e-22
8.373199341923442951e-02	1.005623825682556571e+01	-4.266145298714257511e-22	6.691160365140627753e-22
8.625186260642453417e-02	1.005774680494809559e+01	-5.273640105926088641e-22	5.930661387654181922e-22
8.877070931521456598e-02	1.005925557936970627e+01	-6.147687122402408321e-22	5.020196376161380937e-22
9.128853395662808734e-02	1.006076458012434216e+01	-6.866265294563606361e-22	3.982867822550708335e-22
9.380533694152426438e-02	1.006227380724595477e+01	-7.411305735746054979e-22	2.844958960125968404e-22
9.632111868059789472e-02	1.006378326076850804e+01	-7.769141800726732950e-22	1.635264905036483175e-22
9.883587958437976828e-02	1.006529294072594638e+01	-7.930847086506080160e-22	3.843617904902489224e-23
1.013496200632363203e-01	1.006680284715224261e+01	-7.892453122975059683e-22	-8.761675033231937906e-23
1.038623405273700201e-01	1.006831298008138909e+01	-7.655041577048140344e-22	-2.114531383948502099e-22
1.063740413868193568e-01	1.006982333954734798e+01	-7.224708973203408193e-22	-3.299531168502440575e-22
1.088847230514583819e-01	1.007133392558410812e+01	-6.612405151526425674e-22	-4.401346087605045208e-22
1.113943859309977774e-01	1.007284473822565829e+01	-5.833649860093946395e-22	-5.392281947798290284e-22
1.139030304349842732e-01	1.007435577750598910e+01	-4.908134932091442661e-22	-6.247464704983108099e-22
1.164106569728006746e-01	1.007586704345909290e+01	-3.859222353111558464e-22	-6.945461645652361851e-22
1.189172659536662929e-01	1.007737853611897627e+01	-2.713351109655408586e-22	-7.468814746799156155e-22
1.214228577866363484e-01	1.007889025551964401e+01	-1.499367962080188113e-22	-7.804473040459122087e-22
1.239274328806030806e-01	1.008040220169511869e+01	-2.477991489061237530e-23	-7.944113386674294207e-22
1.264309916442948600e-01	1.008191437467942997e+01	1.009918540675874491e-22	-7.884341893186592606e-22
1.289335344862767296e-01	1.008342677450658265e+01	2.242227927158749267e-22	-7.626771239185936229e-22
1.314350618149502936e-01	1.008493940121060817e+01	3.418242962936096953e-22	-7.177972287463007327e-22
1.339355740385539673e-01	1.008645225482554508e+01	4.508521773157753834e-22	-6.549301525508535333e-22
1.364350715651625467e-01	1.008796533538542839e+01	5.485801896857863361e-22	-5.756608982253304096e-22
1.389335548026880696e-01	1.008947864292430729e+01	6.325679416722361327e-22	-4.819834245673463713e-22
